date,parcel_id,ndvi,precipitation_sum,temperature_2m_max,target_ndvi_7d
2025-04-22,Parsel_A,0.44246737118638513,0.0,27.4,0.5070766478548889
2025-04-23,Parsel_A,0.45169726785331427,0.2,26.6,0.516306544521818
2025-04-24,Parsel_A,0.46092716452024335,0.0,24.7,0.5255364411887471
2025-04-25,Parsel_A,0.4701570611871725,0.0,20.7,0.5347663378556763
2025-04-26,Parsel_A,0.47938695785410157,2.0,19.4,0.5439962345226054
2025-04-27,Parsel_A,0.4886168545210307,0.1,21.4,0.5532261311895345
2025-04-28,Parsel_A,0.4978467511879598,0.0,22.4,0.5624560278564636
2025-04-29,Parsel_A,0.5070766478548889,38.3,14.3,0.5716859245233927
2025-04-30,Parsel_A,0.516306544521818,4.1,18.2,0.5809158211903218
2025-05-01,Parsel_A,0.5255364411887471,0.1,19.6,0.5687506699068163
